feature,importance
GenHlth,0.044727906464207996
BMI,0.03739864617767214
Age,0.02986988675804044
HighBP,0.028189984612586663
HighChol,0.02032872854616858
HeartDiseaseorAttack,0.009474710930967118
Sex,0.008625157804235064
Income,0.008469902808661074
DiffWalk,0.006102116285190882
MentHlth,0.0025687439006277903
HvyAlcoholConsump,0.0023930344363882567
CholCheck,0.0021973711189302476
PhysHlth,0.0016738218801794081
Education,0.0014010484986805396
Stroke,0.0013164986663006353
Veggies,0.0012856871367374193
Fruits,0.0008635574718350294
PhysActivity,0.0008570371645205033
Smoker,0.0007322722672783652
NoDocbcCost,0.0003785593097349584
AnyHealthcare,0.0003748302158327888
